,sentence1,label1,sentence2,label2,dist,match,sub
36,Bill drank from the hose.,1,This metal hammers flat easily.,1,0.3571428571428571,1,1
37,This metal hammers flat easily.,1,They made him president.,1,0.4727272727272728,1,1
38,They made him president.,1,They made him angry.,1,0.7272727272727273,1,1
39,They made him angry.,1,They caused him to become angry by making him.,0,0.5454545454545454,0,1
40,They caused him to become angry by making him.,0,They caused him to become president by making him.,0,0.875,1,1
41,They caused him to become president by making him.,0,They made him to exhaustion.,0,0.5384615384615384,1,1
42,They made him to exhaustion.,0,They made him into a monster.,1,0.736842105263158,0,1
43,They made him into a monster.,1,The trolley rumbled through the tunnel.,1,0.4411764705882353,1,1
44,The trolley rumbled through the tunnel.,1,The wagon rumbled down the road.,1,0.5915492957746479,1,1
45,The wagon rumbled down the road.,1,The bullets whistled past the house.,1,0.47058823529411764,1,1
46,The bullets whistled past the house.,1,The knee replacement candidate groaned up the stairs.,1,0.4719101123595506,1,1
47,The knee replacement candidate groaned up the stairs.,1,The car honked down the road.,0,0.46341463414634143,0,1
48,The car honked down the road.,0,The dog barked out of the room.,0,0.6333333333333333,1,1
49,The dog barked out of the room.,0,The dog barked its way out of the room.,1,0.8857142857142857,0,0
50,The dog barked its way out of the room.,1,Bill whistled his way past the house.,1,0.5,1,1
51,Bill whistled his way past the house.,1,The witch vanished into the forest.,1,0.5,1,1
52,The witch vanished into the forest.,1,Bill disappeared down the road.,1,0.4545454545454546,1,1
53,Bill disappeared down the road.,1,The witch went into the forest by vanishing.,0,0.3466666666666667,0,1
54,The witch went into the forest by vanishing.,0,The witch went into the forest and thereby vanished.,1,0.8541666666666666,0,1
55,The witch went into the forest and thereby vanished.,1,The building is tall and wide.,1,0.4390243902439024,1,1
56,The building is tall and wide.,1,The building is tall and tall.,0,0.8666666666666667,0,0
57,The building is tall and tall.,0,This building is taller and wider than that one.,1,0.6923076923076923,0,1
58,This building is taller and wider than that one.,1,This building got taller and wider than that one.,1,0.9484536082474226,1,1
59,This building got taller and wider than that one.,1,This building got taller and taller.,1,0.7764705882352941,1,0
60,This building got taller and taller.,1,This building is taller and taller.,0,0.9295774647887324,0,1
61,This building is taller and taller.,0,This building got than that one.,0,0.6865671641791045,1,1
62,This building got than that one.,0,This building is than that one.,0,0.9206349206349207,1,1
63,This building is than that one.,0,Bill floated into the cave.,1,0.4482758620689655,0,1
64,Bill floated into the cave.,1,Bill floated into the cave for hours.,0,0.84375,0,0
65,Bill floated into the cave for hours.,0,Bill pushed Harry off the sofa for hours.,0,0.6666666666666667,1,1
66,Bill pushed Harry off the sofa for hours.,0,Bill floated down the river for hours.,1,0.6329113924050633,0,1
67,Bill floated down the river for hours.,1,Bill floated down the river.,1,0.8484848484848485,1,0
68,Bill floated down the river.,1,Bill pushed Harry along the trail for hours.,1,0.5277777777777778,1,1
69,Bill pushed Harry along the trail for hours.,1,Bill pushed Harry along the trail.,1,0.8717948717948718,1,0
70,Bill pushed Harry along the trail.,1,The road zigzagged down the hill.,1,0.4776119402985075,1,1
71,The road zigzagged down the hill.,1,The rope stretched over the pulley.,1,0.5588235294117647,1,1
72,The rope stretched over the pulley.,1,The weights stretched the rope over the pulley.,1,0.7804878048780488,1,0
73,The weights stretched the rope over the pulley.,1,The weights kept the rope stretched over the pulley.,1,0.8080808080808081,1,0
74,The weights kept the rope stretched over the pulley.,1,Sam cut himself free.,1,0.3013698630136986,1,1
75,Sam cut himself free.,1,Sam got free by cutting his finger.,1,0.5357142857142857,1,1
76,Sam got free by cutting his finger.,1,Bill cried himself to sleep.,1,0.31746031746031744,1,1
77,Bill cried himself to sleep.,1,Bill cried Sue to sleep.,0,0.8461538461538461,0,1
78,Bill cried Sue to sleep.,0,Bill squeezed himself through the hole.,1,0.5079365079365079,0,1
79,Bill squeezed himself through the hole.,1,Bill sang himself to sleep.,1,0.6363636363636364,1,1
80,Bill sang himself to sleep.,1,Bill squeezed the puppet through the hole.,1,0.46376811594202894,1,1
81,Bill squeezed the puppet through the hole.,1,Bill sang Sue to sleep.,1,0.49230769230769234,1,1
82,Bill sang Sue to sleep.,1,The elevator rumbled itself to the ground.,0,0.3384615384615385,0,1
83,The elevator rumbled itself to the ground.,0,"If the telephone rang, it could ring itself silly.",1,0.4565217391304348,0,1
84,"If the telephone rang, it could ring itself silly.",1,She yelled hoarse.,0,0.38235294117647056,0,1
85,She yelled hoarse.,0,Ted cried to sleep.,0,0.4864864864864865,1,1
86,Ted cried to sleep.,0,The tiger bled to death.,1,0.5581395348837209,0,1
87,The tiger bled to death.,1,"He coughed awake and we were all overjoyed, especially Sierra.",1,0.32558139534883723,1,1
88,"He coughed awake and we were all overjoyed, especially Sierra.",1,"John coughed awake, rubbing his nose and cursing under his breath.",1,0.484375,1,1
89,"John coughed awake, rubbing his nose and cursing under his breath.",1,John coughed himself awake on the bank of the lake where he and Bill had their play.,1,0.5333333333333333,1,1
90,John coughed himself awake on the bank of the lake where he and Bill had their play.,1,Ron yawned himself awake.,1,0.3669724770642202,1,1
91,Ron yawned himself awake.,1,She coughed herself awake as the leaf landed on her nose.,1,0.3902439024390244,1,1
92,She coughed herself awake as the leaf landed on her nose.,1,The worm wriggled onto the carpet.,1,0.41758241758241754,1,1
93,The worm wriggled onto the carpet.,1,The chocolate melted onto the carpet.,1,0.7323943661971831,1,1
94,The chocolate melted onto the carpet.,1,The ball wriggled itself loose.,0,0.4411764705882353,0,1
95,The ball wriggled itself loose.,0,Bill wriggled himself loose.,1,0.8135593220338984,0,1
96,Bill wriggled himself loose.,1,Aliza wriggled her tooth loose.,1,0.6779661016949152,1,1
97,Aliza wriggled her tooth loose.,1,The off center spinning flywheel shook itself loose.,1,0.4337349397590361,1,1
98,The off center spinning flywheel shook itself loose.,1,"The more you eat, the less you want.",1,0.38636363636363635,1,1
99,"The more you eat, the less you want.",1,"If you eat more, you want correspondingly less.",1,0.5060240963855422,1,1
100,"If you eat more, you want correspondingly less.",1,"When you eat more, you want correspondingly less.",1,0.9375,1,1
101,"When you eat more, you want correspondingly less.",1,"As you eat more, you want correspondingly less.",1,0.9375,1,1
102,"As you eat more, you want correspondingly less.",1,"The most you want, the least you eat.",0,0.47619047619047616,0,1
103,"The most you want, the least you eat.",0,"The angrier Sue gets, the more Fred admires her.",1,0.47058823529411764,0,1
104,"The angrier Sue gets, the more Fred admires her.",1,"The more that you eat, the less that you want.",1,0.46808510638297873,1,1
105,"The more that you eat, the less that you want.",1,"The angrier that Sue gets, the more that Fred admires her.",1,0.6153846153846154,1,1
106,"The angrier that Sue gets, the more that Fred admires her.",1,"I think that the more you eat, the less you want.",1,0.485981308411215,1,1
107,"I think that the more you eat, the less you want.",1,"I'm not shocked by the idea that the more you eat, the less you want.",1,0.7966101694915254,1,1
108,"I'm not shocked by the idea that the more you eat, the less you want.",1,"It is obvious that the more you eat, the less you want.",1,0.7903225806451613,1,1
109,"It is obvious that the more you eat, the less you want.",1,"It is not entirely clear if the more you eat, the less you want.",1,0.7899159663865546,1,1
110,"It is not entirely clear if the more you eat, the less you want.",1,"I want to explain exactly why the more you eat, the less you want.",1,0.7538461538461538,1,1
111,"I want to explain exactly why the more you eat, the less you want.",1,"I demand that the more John eats, the more he pays.",1,0.5811965811965811,1,1
112,"I demand that the more John eats, the more he pays.",1,"I demand that the more John eat, the more he pay.",0,0.98,0,1
113,"I demand that the more John eat, the more he pay.",0,"I demand that John pay more, the more he eats.",1,0.7578947368421053,0,1
114,"I demand that John pay more, the more he eats.",1,"I demand that John pays more, the more he eat.",0,0.9782608695652174,0,1
115,"I demand that John pays more, the more he eat.",0,"You get angrier, the more we eat, don't you.",1,0.5333333333333333,0,1
116,"You get angrier, the more we eat, don't you.",1,"You get angrier, the more we eat, don't we.",0,0.9425287356321839,0,0
117,"You get angrier, the more we eat, don't we.",0,"The harder it has rained, how much faster a flow that appears in the river?",0,0.4067796610169492,1,1
118,"The harder it has rained, how much faster a flow that appears in the river?",0,"The harder it has rained, how much faster a flow appears in the river?",1,0.9655172413793104,0,0
119,"The harder it has rained, how much faster a flow appears in the river?",1,"The harder it rains, how much faster that do you run?",0,0.6991869918699187,0,1
120,"The harder it rains, how much faster that do you run?",0,"The harder it rains, how much faster do you run?",1,0.9504950495049505,0,0
121,"The harder it rains, how much faster do you run?",1,"The harder it rains, how much faster a flow do you see in the river?",1,0.7931034482758621,1,1
122,"The harder it rains, how much faster a flow do you see in the river?",1,"The harder it rains, how much faster a flow that do you see in the river?",0,0.9645390070921985,0,0
123,"The harder it rains, how much faster a flow that do you see in the river?",0,"When it rains harder, how much faster a flow appears in the river?",1,0.7482014388489209,0,1
124,"When it rains harder, how much faster a flow appears in the river?",1,"As it rains harder, how much faster a flow appears in the river?",1,0.9538461538461538,1,1
125,"As it rains harder, how much faster a flow appears in the river?",1,"As it rains harder, how much faster a flow that appears in the river?",0,0.9624060150375939,0,0
126,"As it rains harder, how much faster a flow that appears in the river?",0,"When it rains harder, how much faster a flow that appears in the river?",0,0.9571428571428572,1,1
127,"When it rains harder, how much faster a flow that appears in the river?",0,"How much harder has it rained, the faster a flow you see in the river?",1,0.6382978723404256,0,1
128,"How much harder has it rained, the faster a flow you see in the river?",1,"How much harder has it rained, when you see a faster flow in the river?",1,0.8368794326241135,1,0
129,"How much harder has it rained, when you see a faster flow in the river?",1,"The more John eats, the tighter keep your mouth shut about it.",0,0.42105263157894735,0,1
130,"The more John eats, the tighter keep your mouth shut about it.",0,"The more everyone eat, the more John keeps his big mouth shut about it, OK?",0,0.7007299270072993,1,1
131,"The more everyone eat, the more John keeps his big mouth shut about it, OK?",0,"When John eats more, keep your mouth shut tighter, OK?",1,0.6201550387596899,0,1
132,"When John eats more, keep your mouth shut tighter, OK?",1,"As John eats more, keep your mouth shut tighter, OK?",1,0.9433962264150944,1,1
133,"As John eats more, keep your mouth shut tighter, OK?",1,"Keep your mouth shut tighter, the more John eats, OK?",1,0.6095238095238096,1,1
134,"Keep your mouth shut tighter, the more John eats, OK?",1,"Everyone keep your mouth shut tighter, the more John eats, OK?",1,0.9043478260869565,1,1
135,"Everyone keep your mouth shut tighter, the more John eats, OK?",1,"I can well imagine the more him eating, the fatter him getting.",0,0.41600000000000004,0,1
136,"I can well imagine the more him eating, the fatter him getting.",0,Bill can well imagine getting fat.,1,0.5773195876288659,0,1
137,Bill can well imagine getting fat.,1,"Bill can well imagine the more he eats, the fatter getting.",0,0.6451612903225806,0,1
138,"Bill can well imagine the more he eats, the fatter getting.",0,"Fred can well imagine Joe getting fatter, the more he eats.",1,0.6101694915254237,0,1
139,"Fred can well imagine Joe getting fatter, the more he eats.",1,"It is important the more you eat, the more careful to be.",0,0.5,0,1
140,"It is important the more you eat, the more careful to be.",0,"It is important for the more you eat, the more careful to be.",0,0.9661016949152542,1,0
141,"It is important for the more you eat, the more careful to be.",0,"It is important the more you to eat, the more careful to be.",0,0.9421487603305785,1,0
142,"It is important the more you to eat, the more careful to be.",0,"It is important the more you eat, the more careful you to be.",0,0.9421487603305785,1,0
143,"It is important the more you eat, the more careful you to be.",0,"It is important the more you eat, the more careful for you to be.",0,0.9682539682539683,1,0
144,"It is important the more you eat, the more careful for you to be.",0,"It is important for the more you to eat, the more careful to be.",0,0.8837209302325582,1,0
145,"It is important for the more you to eat, the more careful to be.",0,"It is important for the more you to eat, the more careful for you to be.",0,0.9411764705882353,1,0
146,"It is important for the more you to eat, the more careful for you to be.",0,"It is important the more you to eat, the more careful for you to be.",0,0.9714285714285714,1,0
147,"It is important the more you to eat, the more careful for you to be.",0,"It is important for the more you eat, the more careful you to be.",0,0.9172932330827068,1,0
148,"It is important for the more you eat, the more careful you to be.",0,"It is important for you to be more careful, the more you eat.",1,0.746031746031746,0,1
149,"It is important for you to be more careful, the more you eat.",1,"It is important to be more careful, the more you eat.",1,0.9298245614035088,1,0
150,"It is important to be more careful, the more you eat.",1,I can well imagine quickly Mary answering the question.,0,0.42592592592592593,0,1
151,I can well imagine quickly Mary answering the question.,0,I can well imagine with a hatchet Mary destroying the Jeep.,0,0.6842105263157895,1,1
152,I can well imagine with a hatchet Mary destroying the Jeep.,0,"I can well imagine if he eats more, him getting fat.",0,0.6306306306306306,1,1
153,"I can well imagine if he eats more, him getting fat.",0,"It is not entirely obvious if, Mary listens to the Grateful Dead, she gets depressed.",0,0.4233576642335767,1,1
154,"It is not entirely obvious if, Mary listens to the Grateful Dead, she gets depressed.",0,"It is not entirely obvious whether, Mary listens to the Grateful Dead, she gets depressed.",0,0.9485714285714286,1,1
155,"It is not entirely obvious whether, Mary listens to the Grateful Dead, she gets depressed.",0,Mary listens to the Grateful Dead and she gets depressed.,1,0.7210884353741497,0,1
156,Mary listens to the Grateful Dead and she gets depressed.,1,"If Mary listens to the Grateful Dead, she gets depressed.",1,0.9298245614035088,1,1
157,"If Mary listens to the Grateful Dead, she gets depressed.",1,"When Mary listens to the Grateful Dead, she gets depressed.",1,0.9482758620689655,1,1
158,"When Mary listens to the Grateful Dead, she gets depressed.",1,Mary gets depressed if she listens to the Grateful Dead.,1,0.5913043478260869,1,1
159,Mary gets depressed if she listens to the Grateful Dead.,1,Mary gets depressed when she listens to the Grateful Dead.,1,0.9473684210526316,1,1
160,Mary gets depressed when she listens to the Grateful Dead.,1,"The more she looked at pictures, the angrier Mary got.",1,0.4285714285714286,1,1
161,"The more she looked at pictures, the angrier Mary got.",1,"The more pictures Mary looked at, she got angrier and angrier.",0,0.6379310344827587,0,1
162,"The more pictures Mary looked at, she got angrier and angrier.",0,Mary gets depressed and she listens to the Grateful Dead.,1,0.4201680672268907,0,1
163,Mary gets depressed and she listens to the Grateful Dead.,1,"The higher the stakes are, the lower his expectations are.",1,0.4173913043478261,1,1
164,"The higher the stakes are, the lower his expectations are.",1,"The higher the stakes, the lower his expectations.",1,0.9259259259259259,1,1
165,"The higher the stakes, the lower his expectations.",1,"His expectations are lower, the higher the stakes.",1,0.45999999999999996,1,1
166,"His expectations are lower, the higher the stakes.",1,"His expectations are lower, the higher the stakes are.",1,0.9615384615384616,1,0
167,"His expectations are lower, the higher the stakes are.",1,"His expectations lower, the higher the stakes.",0,0.92,0,0
168,"His expectations lower, the higher the stakes.",0,"His expectations lower, the higher the stakes are.",0,0.9583333333333334,1,0
169,"His expectations lower, the higher the stakes are.",0,"The more obnoxious Fred is, the less attention you should pay to him.",1,0.38655462184873945,0,1
170,"The more obnoxious Fred is, the less attention you should pay to him.",1,"The more obnoxious Fred, the less attention you should pay to him.",0,0.9777777777777777,0,1
171,"The more obnoxious Fred, the less attention you should pay to him.",0,"The more Fred is obnoxious, the less you should pay attention to him.",1,0.7555555555555555,0,1
172,"The more Fred is obnoxious, the less you should pay attention to him.",1,"The more obnoxious Fred, the less you should pay attention to him.",0,0.9037037037037037,0,1
173,"The more obnoxious Fred, the less you should pay attention to him.",0,His expectations are always lower than mine.,1,0.38181818181818183,0,1
174,His expectations are always lower than mine.,1,John was lots more obnoxious than Fred was.,1,0.4137931034482759,1,1
175,John was lots more obnoxious than Fred was.,1,"You should always lock your door, no matter how fancy the hotel might be.",1,0.43103448275862066,1,1
176,"You should always lock your door, no matter how fancy the hotel might be.",1,"You should always lock your door, no matter how fancy the hotel.",1,0.9343065693430657,1,0
177,"You should always lock your door, no matter how fancy the hotel.",1,"I don't plan to lock the door, no matter how fancy this hotel is.",1,0.7286821705426356,1,1
178,"I don't plan to lock the door, no matter how fancy this hotel is.",1,"I don't plan to lock the door, no matter how fancy this hotel.",0,0.9763779527559056,0,0
179,"I don't plan to lock the door, no matter how fancy this hotel.",0,"I'm going out, whatever the weather.",1,0.4285714285714286,0,1
180,"I'm going out, whatever the weather.",1,"I'm going out, wherever that hurricane might be.",1,0.6904761904761905,1,1
181,"I'm going out, wherever that hurricane might be.",1,"I'm going out, wherever that hurricane.",0,0.896551724137931,0,0
182,"I'm going out, wherever that hurricane.",0,The more examples Mary says that Bill has helped Fred to discover the less I believe her.,1,0.296875,0,1
183,The more examples Mary says that Bill has helped Fred to discover the less I believe her.,1,The more food Mary knows a man that eats the poorer she gets.,0,0.5333333333333333,0,1
184,The more food Mary knows a man that eats the poorer she gets.,0,The fatter he goes to a doctor when he gets the more he eats.,0,0.6065573770491803,1,1
185,The fatter he goes to a doctor when he gets the more he eats.,0,"The fatter that that he gets bothers him, the more he eats.",0,0.7,1,1
186,"The fatter that that he gets bothers him, the more he eats.",0,"The more books I ask to whom he will give, the more he reads.",0,0.5666666666666667,1,1
187,"The more books I ask to whom he will give, the more he reads.",0,The more people I ask what he will give to the more he reads.,0,0.8360655737704918,1,1
188,The more people I ask what he will give to the more he reads.,0,The more carefully he words the letter the safer he'll be.,1,0.5714285714285714,0,1
189,The more carefully he words the letter the safer he'll be.,1,The more carefully he knows a man that worded the letter the safer he'll be.,0,0.8507462686567164,0,1
190,The more carefully he knows a man that worded the letter the safer he'll be.,0,"The more geniuses John meets, the angrier he gets.",1,0.5238095238095238,0,1
191,"The more geniuses John meets, the angrier he gets.",1,"The more John meets geniuses, the angrier he gets.",0,0.8200000000000001,0,1
192,"The more John meets geniuses, the angrier he gets.",0,"The more people you say will buy tickets, the happier I'll be.",1,0.5535714285714286,0,1
193,"The more people you say will buy tickets, the happier I'll be.",1,"The more people you say that will buy tickets, the happier I'll be.",0,0.9612403100775194,0,0
194,"The more people you say that will buy tickets, the happier I'll be.",0,"The more people you say that right after the show opens will buy tickets, the happier I'll be.",1,0.8322981366459627,0,0
195,"The more people you say that right after the show opens will buy tickets, the happier I'll be.",1,"The more I talk to Joe, the less about linguistics I am inclined to think Sally has taught him to appreciate.",1,0.4630541871921182,1,1
196,"The more I talk to Joe, the less about linguistics I am inclined to think Sally has taught him to appreciate.",1,"The more he eats, the poorer he knows a woman that gets.",0,0.4363636363636364,0,1
197,"The more he eats, the poorer he knows a woman that gets.",0,"The more he eats, the fatter he goes to a doctor when he gets.",0,0.728813559322034,1,1
198,"The more he eats, the fatter he goes to a doctor when he gets.",0,"The more he eats, the fatter that that he gets really bothers me.",0,0.7086614173228347,1,1
199,"The more he eats, the fatter that that he gets really bothers me.",0,"The more he reads, the more books I wonder to whom he will give.",0,0.5581395348837209,1,1
200,"The more he reads, the more books I wonder to whom he will give.",0,"The more he reads, the more people I wonder what he will give to.",0,0.8527131782945736,1,1
201,"The more he reads, the more people I wonder what he will give to.",0,"The sooner you call, the more carefully I know a man that will word the letter.",0,0.5694444444444444,1,1
202,"The sooner you call, the more carefully I know a man that will word the letter.",0,"The richer John gets, the more geniuses John meets.",1,0.46153846153846156,0,1
203,"The richer John gets, the more geniuses John meets.",1,"The richer he gets, the more John meets geniuses.",0,0.78,0,0
204,"The richer he gets, the more John meets geniuses.",0,"The more articles he reads, the fewer people he thinks will go into linguistics.",1,0.5426356589147288,0,1
205,"The more articles he reads, the fewer people he thinks will go into linguistics.",1,"The more articles he reads, the fewer people he thinks that will go into linguistics.",0,0.9696969696969697,0,0
206,"The more articles he reads, the fewer people he thinks that will go into linguistics.",0,"The more articles he reads, the fewer people he thinks that under the current circumstances will go into linguistics.",1,0.8415841584158416,0,0
207,"The more articles he reads, the fewer people he thinks that under the current circumstances will go into linguistics.",1,"The more articles he reads, the fewer people he thinks under the current circumstances will go into linguistics.",1,0.9781659388646288,1,0
208,"The more articles he reads, the fewer people he thinks under the current circumstances will go into linguistics.",1,"The more people that arrive, the louder that it gets.",1,0.4727272727272728,1,1
209,"The more people that arrive, the louder that it gets.",1,"The more people that arrive, the louder it gets.",1,0.9504950495049505,1,0
210,"The more people that arrive, the louder it gets.",1,"The more people you give beer to, the more people that get sick.",1,0.6428571428571428,1,1
211,"The more people you give beer to, the more people that get sick.",1,"The more people that you give beer to, the more people that get sick.",1,0.9624060150375939,1,0
212,"The more people that you give beer to, the more people that get sick.",1,"The more people arrive, the louder that it gets.",1,0.6666666666666667,1,1
213,"The more people arrive, the louder that it gets.",1,"The more people arrive, the louder it gets.",1,0.945054945054945,1,0
214,"The more people arrive, the louder it gets.",1,"The more people that you give beer to, the more people get sick.",1,0.6542056074766356,1,1
215,"The more people that you give beer to, the more people get sick.",1,The more pictures of John that he buys the more arrogant he becomes.,0,0.5606060606060606,0,1
216,The more pictures of John that he buys the more arrogant he becomes.,0,The more pictures of himself that John buys the more arrogant he becomes.,1,0.9078014184397163,0,0
217,The more pictures of himself that John buys the more arrogant he becomes.,1,The man that arrived on the train was my brother.,1,0.47540983606557374,1,1
218,The man that arrived on the train was my brother.,1,The man arrived on the train was my brother.,0,0.946236559139785,0,0
219,The man arrived on the train was my brother.,0,"The more people everyone who likes pays attention to, the happier we all are.",0,0.4297520661157025,1,1
220,"The more people everyone who likes pays attention to, the happier we all are.",0,"The later it gets, the more people everyone who likes pays attention to.",0,0.7114093959731543,1,1
221,"The later it gets, the more people everyone who likes pays attention to.",0,"Whenever Bill smokes, Susan hates him all the more.",1,0.4065040650406504,0,1
222,"Whenever Bill smokes, Susan hates him all the more.",1,"Whenever Bill smokes, Susan hates him much more.",1,0.9090909090909091,1,1
223,"Whenever Bill smokes, Susan hates him much more.",1,"Whenever Bill smokes, Susan hates him far more.",1,0.9263157894736842,1,1
224,"Whenever Bill smokes, Susan hates him far more.",1,"Whenever Bill smokes, Susan hates him a lot more.",1,0.9375,1,1
225,"Whenever Bill smokes, Susan hates him a lot more.",1,"Once Janet left, Fred became all the crazier.",1,0.4042553191489362,1,1
226,"Once Janet left, Fred became all the crazier.",1,"Once Janet left, Fred became much crazier.",1,0.896551724137931,1,1
227,"Once Janet left, Fred became much crazier.",1,"Once Janet left, Fred became far crazier.",1,0.9156626506024097,1,1
228,"Once Janet left, Fred became far crazier.",1,"Fred became all the crazier, the more often Janet left.",1,0.45833333333333337,1,1
229,"Fred became all the crazier, the more often Janet left.",1,"When Bill smokes, all the more does Susan hate him.",1,0.49056603773584906,1,1
230,"When Bill smokes, all the more does Susan hate him.",1,"When Bill smokes, much more does Susan hate him.",0,0.9090909090909091,0,1
231,"When Bill smokes, much more does Susan hate him.",0,"When Bill smokes, all the more Susan hates him.",0,0.8421052631578947,1,1
232,"When Bill smokes, all the more Susan hates him.",0,So much did you eat that everyone gasped.,1,0.38636363636363635,0,1
233,So much did you eat that everyone gasped.,1,So fast did you run that everyone gasped.,1,0.8292682926829268,1,1
234,So fast did you run that everyone gasped.,1,So intelligent a dog did you buy that everyone gasped.,1,0.7578947368421053,1,1
235,So intelligent a dog did you buy that everyone gasped.,1,I know how much you ate.,1,0.3846153846153846,1,1
236,I know how much you ate.,1,I know how fast you ran.,1,0.75,1,1
237,I know how fast you ran.,1,I know how intelligent a dog you bought.,1,0.5625,1,1
238,I know how intelligent a dog you bought.,1,He ate so much that he got sick.,1,0.36111111111111116,1,1
239,He ate so much that he got sick.,1,So much did he eat that he got sick.,1,0.7058823529411764,1,1
240,So much did he eat that he got sick.,1,"The more you eat, the more you want.",1,0.4444444444444444,1,1
241,"The more you eat, the more you want.",1,"You eat the more, the more you want.",0,0.75,0,1
242,"You eat the more, the more you want.",0,"The more you eat, you want the more.",0,0.5555555555555556,1,1
243,"The more you eat, you want the more.",0,I wonder you ate how much.,0,0.5161290322580645,1,1
244,I wonder you ate how much.,0,I wonder to how many people Bill talks.,1,0.523076923076923,0,1
245,I wonder to how many people Bill talks.,1,"The longer he has to wait, the angrier John gets.",1,0.43181818181818177,1,1
246,"The longer he has to wait, the angrier John gets.",1,"If he has to wait, John gets angry.",1,0.6428571428571428,1,1
247,"If he has to wait, John gets angry.",1,"He gets angry, the longer John has to wait.",0,0.4358974358974359,0,1
248,"He gets angry, the longer John has to wait.",0,He gets angry if John has to wait.,0,0.8311688311688312,1,1
249,He gets angry if John has to wait.,0,"The more that pictures of him appear in the news, the more embarrassed John becomes.",1,0.35593220338983056,0,1
250,"The more that pictures of him appear in the news, the more embarrassed John becomes.",1,"The more pictures of himself that appear in the news, the more embarrassed John becomes.",1,0.9186046511627907,1,1
251,"The more pictures of himself that appear in the news, the more embarrassed John becomes.",1,"The more that pictures of himself appear in the news, the more embarrassed John becomes.",1,0.9431818181818182,1,0
252,"The more that pictures of himself appear in the news, the more embarrassed John becomes.",1,"The more pictures of him appear in the news, the more likely John is to get arrested.",1,0.7514450867052023,1,1
253,"The more pictures of him appear in the news, the more likely John is to get arrested.",1,"The more pictures of himself appear in the news, the more likely John is to get arrested.",0,0.9770114942528736,0,1
254,"The more pictures of himself appear in the news, the more likely John is to get arrested.",0,"The more that pictures of him appear in the news, the more likely John is to get arrested.",1,0.9497206703910615,0,1
